X_COORD,Y_COORD
31.990564400000004,-25.4400558
32.6253433,-23.8498854
32.8559836380365,-24.415949347172514
32.67676537294553,-25.74468290966684
36.882167144656115,-17.87374987807024
36.87927470002198,-17.87733457634599
32.05752396653164,-22.729482691658514
32.66332319782166,-18.984054637951996
32.72827841069644,-18.992109130506023
32.77045487242273,-18.958229488473634
32.81753557388464,-18.93096191554361
32.86759343735077,-18.935923852217286
33.02383674563369,-18.966964804896833
33.075729371730304,-18.972220995954654
33.14060957858559,-19.01259154351948
33.17129281024913,-18.973115298494676
33.26176160913672,-18.95089043795162
33.32206644880336,-18.968222598146678
33.386813952701104,-18.998675042057947
33.42974047462228,-19.032577762865568
33.478252060148236,-19.113999681864406
33.56857084699685,-19.10183716732008
33.64646171338605,-19.08610898200326
33.77457199466795,-19.100013944077183
33.8877041508279,-19.1968755637025
33.994605037676706,-19.235232488128823
34.02679992911757,-19.24471786474689
34.131358320280896,-19.256857300515986
34.210310810330505,-19.274604878665105
34.43679437101505,-19.406765484999244
34.52017798590814,-19.474017036009062
34.838549690156725,-19.82456055292327
34.70866234318239,-19.38405597017644
34.723848177281404,-19.211819070661612
34.806654822793824,-19.07410801888552
34.79249599419242,-18.901548016517523
34.84456171110325,-18.722664429737478
34.97924944332469,-18.57080608874758
35.02492233949779,-18.41516282862056
35.15903310233856,-18.220793383663583
35.92658700881909,-18.28135208985773
35.319269038735655,-17.901683158607764
35.337957076975215,-17.819436173394582
35.25080008233262,-17.709777372906203
35.12587467203197,-17.619377810344275
35.03240563236494,-17.45816102600006
35.069804787619375,-17.436190031984502
35.192630029374435,-17.134158100596235
35.055184383513435,-17.398156210411344
35.01599662317897,-17.26669950672162
34.90778024614226,-17.03704838413724
34.787609063538255,-16.809278181733813
34.68662788253499,-16.64895569992963
34.53261744575524,-16.520204982635203
34.26439592007369,-16.170723089381408
34.191720856885674,-15.98673909327633
33.97607278116997,-16.067514806568834
32.241290289796794,-25.604489796343124
32.11149525792337,-25.545454289313923
32.14465945792378,-26.198918270462617
32.32970507768928,-26.041717193007813
32.487771609215095,-25.91292031816292
32.52875374432341,-25.936971286795757
32.54836781841897,-25.953533192867624
32.56417100975526,-25.970842274287453
32.59241943063241,-25.925486711273713
32.61989471253945,-25.902569487473862
32.80500956863061,-25.40253320403047
32.78906213494914,-25.044385230679165
32.64533329253278,-25.022702721353955
32.85008241664784,-24.80202924233266
33.05649898227301,-24.584050210319045
32.995565245981425,-24.530109342921072
32.34653238967619,-25.695073989106877
32.65152994368103,-26.440806913610857
31.683381092626174,-22.08012426182161
33.72817788676911,-16.12027000188962
33.79521018941426,-16.162469542391147
35.8917322885334,-14.989606185384082
36.535860905103,-14.80322199665545
35.945459677260516,-14.128721711887868
35.5315187647993,-13.77642420805645
35.25185016660544,-13.312333117028215
37.00740644052935,-14.834164864540279
37.24488703760929,-14.928141637262293
37.416140204330084,-14.947312887358201
37.64392050369766,-14.930789926719527
37.718926523183555,-14.985071206052087
37.76216460857026,-15.004261207652862
37.85042938442373,-15.019897077868762
38.045825834878286,-15.025759086776283
38.23097819397921,-15.103638413777869
38.33069292719189,-15.047092529626212
38.45837625113211,-15.026044686619711
38.51334412402765,-14.99282278968127
38.55468974984578,-14.965999483174354
38.69220463203245,-14.942643762645208
38.74614549943043,-14.909874786670583
38.82563457100406,-14.976863816612187
38.96359948930765,-15.002850517517144
39.13173990621978,-15.017274752033659
39.26626608701463,-15.113374772076508
39.42617892055853,-15.111113052104315
39.67374494241242,-15.00898947172737
39.841896898712164,-14.956681427676672
39.98530263827537,-14.923194124823125
40.13637053121376,-14.901021191524334
40.21001490296129,-14.917014782756251
40.313592446177495,-14.904621480459653
40.49372228681977,-14.820776290062051
40.671890431567796,-14.655670732092185
40.66949600863805,-14.54378482979447
40.61340881514403,-14.534553319703894
32.55890472173309,-23.430717266847374
